Rank,Score_Potencial,Nome_Estudio,Bairro,Avaliação_Google,Total_Avaliações,Telefone,Link_WhatsApp,Instagram,Website,Abordagem_1_Inicial,Resposta_2_Demonstracao_SIM,Fechamento_3_Oferta_Preco_Pix,Endereço,Link_GoogleMaps
11,85,Bella Cílios e sobrancelhas,Setor Negrão de Lima,4.9,52,+55 62 98473-3800,https://wa.me/5562984733800,@bellaciliosesobrancelhasgo,https://www.instagram.com/bellaciliosesobrancelhasgo,"Oii Bella, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Bella! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Bella! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","R. Dona Mariquinha, Qd 21 - Lt 26 sala 01 - Setor Negrão de Lima, Goiânia - GO, 74650-130, Brasil",https://www.google.com/maps/search/?api=1&query=Bella%20C%C3%ADlios%20e%20sobrancelhas&query_place_id=ChIJqcYJEjXyXpMRtnQQ3biylr4
12,80,Studio Maria Eugênia Sobrancelhas,Parque Atheneu,5.0,48,+55 62 98447-9988,https://wa.me/5562984479988,@mariaeugeniasobrancelhas,https://instagram.com/mariaeugeniasobrancelhas?utm_medium=copy_link,"Oii Maria, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Maria! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Maria! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","R. 3, lote 8 - unidade 103 - Parque Atheneu, Goiânia - GO, 74893-130, Brasil",https://www.google.com/maps/search/?api=1&query=Studio%20Maria%20Eug%C3%AAnia%20Sobrancelhas&query_place_id=ChIJU43d51L1XpMRs5E5kKLMxX0
13,80,Mariane Moreno Sobrancelhas,Parque Atheneu,5.0,43,+55 62 99996-1107,https://wa.me/5562999961107,@marianemoreno.sobrancelhas,https://www.instagram.com/marianemoreno.sobrancelhas?r=nametag,"Oii Mariane, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Mariane! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Mariane! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","R. Quinze, 47 - Und 201 - Parque Atheneu, Goiânia - GO, 74890-230, Brasil",https://www.google.com/maps/search/?api=1&query=Mariane%20Moreno%20Sobrancelhas&query_place_id=ChIJX1H2g17lXpMRgNeUw_-gzZw
14,80,Studio Isabela Souza | Cílios e Sobrancelhas em Goiânia,Vila Redencao,5.0,31,+55 62 99304-1775,https://wa.me/5562993041775,@studioisabelasouza,https://www.instagram.com/studioisabelasouza,"Oii Isabela, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Isabela! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Isabela! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","Av. 2ª Radial, Qd. 70 - Lt. 06 Sala 2 - Vila Redencao, Goiânia - GO, 74850-040, Brasil",https://www.google.com/maps/search/?api=1&query=Studio%20Isabela%20Souza%20%7C%20C%C3%ADlios%20e%20Sobrancelhas%20em%20Goi%C3%A2nia&query_place_id=ChIJ6_FUKYnxXpMRZl7o8vNiDJE
15,80,Déborah Alvarenga Beauty - Cílios Goiânia / Sobrancelha Natural / Cílios,Nova Suiça,5.0,27,+55 62 98583-6759,https://wa.me/5562985836759,@deborahalvarengabeauty,https://instagram.com/deborahalvarengabeauty?igshid=psiw92bajlso,"Oii Déborah, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Déborah! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Déborah! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","Sobrancelha Natural, Cílios, Design, Henna Cílios em - R. C-252, N° 1141 - QD 604, LT 11 - Nova Suiça, Goiânia - GO, 74280-160, Brasil",https://www.google.com/maps/search/?api=1&query=D%C3%A9borah%20Alvarenga%20Beauty%20-%20C%C3%ADlios%20Goi%C3%A2nia%20%2F%20Sobrancelha%20Natural%20%2F%20C%C3%ADlios&query_place_id=ChIJl9chJ-nxXpMRqLdSKfOsPEI
16,80,Yara Ferreira Lash Designer - Extensão de Cílios,Goiânia,5.0,23,+55 62 98314-2423,https://wa.me/5562983142423,@ylashdesign,https://instagram.com/ylashdesign?igshid=NzZlODBkYWE4Ng%3D%3D&utm_source=qr,"Oii Yara, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Yara! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Yara! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","R. Poe. Joaquim Bonifácio - Goiânia, GO, 74770-410, Brasil",https://www.google.com/maps/search/?api=1&query=Yara%20Ferreira%20Lash%20Designer%20-%20Extens%C3%A3o%20de%20C%C3%ADlios&query_place_id=ChIJyxTL8p7vXpMR1pVLBLcrUEg
17,80,Studio Kathellem lima - Lash Designer (Extensão de cílios)- Designer de sobrancelha - maquiagem-Depilação,Setor Leste Universitário,5.0,22,+55 62 98629-9681,https://wa.me/5562986299681,,https://linktr.ee/Arthdpn?utm_source=linktree_profile_share&ltsid=3a1ec49b-91d4-48a4-a5ba-e39405d37af9,"Oii Kathellem, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Kathellem! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Kathellem! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","R. 233, 1483 - Qd 78 Lt 12 - Setor Leste Universitário, Goiânia - GO, 74605-120, Brasil",https://www.google.com/maps/search/?api=1&query=Studio%20Kathellem%20lima%20-%20Lash%20Designer%20(Extens%C3%A3o%20de%20c%C3%ADlios)-%20Designer%20de%20sobrancelha%20-%20maquiagem-Depila%C3%A7%C3%A3o&query_place_id=ChIJlQQGMQzxXpMRzMyTFfdm_pU
18,75,Studio Lollys Cilios,Nova Suiça,4.5,41,+55 62 99669-6659,https://wa.me/5562996696659,,https://www.lollyscilios.com/,"Oii Lollys, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Lollys! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Lollys! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","Av. C-255, 271 - Nova Suiça, Goiânia - GO, 74280-010, Brasil",https://www.google.com/maps/search/?api=1&query=Studio%20Lollys%20Cilios&query_place_id=ChIJGye0ibH2XpMRF8fxewDzYv4
19,75,EXTENSÃO DE CÍLIOS GOIÂNIA- ARIANA,Leste Vila Nova,5.0,32,+55 62 99307-4555,https://wa.me/5562993074555,,,"Oii Ariana, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Ariana! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Ariana! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","R. 209-A, 1405 - Leste Vila Nova, Goiânia - GO, 74645-210, Brasil",https://www.google.com/maps/search/?api=1&query=EXTENS%C3%83O%20DE%20C%C3%8DLIOS%20GOI%C3%82NIA-%20ARIANA&query_place_id=ChIJOU-jj6jzXpMROoQLtO7YqUw
20,70,Sobrancelhas Design,Setor Sul,4.6,245,+55 62 97400-1431,https://wa.me/5562974001431,,,"Oii Design, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Design! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Design! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","Qd F37 28, R. 88-D, 286 - St. Sul, Goiânia - GO, 74085-115, Brasil",https://www.google.com/maps/search/?api=1&query=Sobrancelhas%20Design&query_place_id=ChIJv6BTMnPxXpMRSTgLft6uVY4
21,70,Elaíne Nascimento Lashdesigner - Extensão de cílios e Designer de Sobrancelha em Goiânia,Parque das Amendoeiras,5.0,19,+55 62 98261-4105,https://wa.me/5562982614105,@en_saladecilios,https://instagram.com/en_saladecilios?utm_medium=copy_link,"Oii Elaíne, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Elaíne! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Elaíne! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","Av. Francisco Ludovíco de Almeida, qd35 lote17 - Parque das Amendoeiras, Goiânia - GO, 74780-440, Brasil",https://www.google.com/maps/search/?api=1&query=Ela%C3%ADne%20Nascimento%20Lashdesigner%20-%20Extens%C3%A3o%20de%20c%C3%ADlios%20e%20Designer%20de%20Sobrancelha%20em%20Goi%C3%A2nia&query_place_id=ChIJB0t6XAztXpMRfyugbg31EHw
22,70,Extensão de Cílios - Studio de Cílios Nayara,Bairro Santa Rita,5.0,16,+55 62 98157-6772,https://wa.me/5562981576772,,https://www.studionayara.com.br/,"Oii Cílios, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Cílios! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Cílios! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","R. João Luís, qd 07 - LT 07 - Bairro Santa Rita, Goiânia - GO, 74370-580, Brasil",https://www.google.com/maps/search/?api=1&query=Extens%C3%A3o%20de%20C%C3%ADlios%20-%20Studio%20de%20C%C3%ADlios%20Nayara&query_place_id=ChIJG8ux-Ov3XpMRWf58BW9LZ5c
23,70,Joana Paiva studio,Residencial Paulo estrela,5.0,16,+55 62 98511-9914,https://wa.me/5562985119914,@joanapaivastudio,https://instagram.com/joanapaivastudio?igshid=OGQ5ZDc2ODk2ZA==&utm_source=qr,"Oii Joana, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Joana! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Joana! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","R. 9, qd 09 lt 02 casa 1 - Residencial Paulo estrela, Goiânia - GO, 74786-444, Brasil",https://www.google.com/maps/search/?api=1&query=Joana%20Paiva%20studio&query_place_id=ChIJJ3J5bgntXpMRud_xJ4tempE
24,70,Cílios Showroom,Crimeia Leste,5.0,15,+55 62 99956-2065,https://wa.me/5562999562065,,https://www.ciliosshowroom.com.br/,"Oii Cílios, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Cílios! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Cílios! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","R. Gen. Braz Arantes, 129 - qd09 lt11 - Crimeia Leste, Goiânia - GO, 74660-210, Brasil",https://www.google.com/maps/search/?api=1&query=C%C3%ADlios%20Showroom&query_place_id=ChIJu0BGTGvzXpMRocxq8JKc-Sw
